transaction_amount,transaction_frequency,account_age,location_change,hour_of_day,distance_from_home_km,num_declines_last_hour,merchant_risk_score,is_online,fraud
76.22,4,12.4,1,3,23.72,0,0.154,0,0
111.58,2,1993.7,0,5,55.74,0,0.378,0,0
44.14,5,821.3,1,20,1.97,0,0.21,0,0
76.43,5,2128.8,0,23,52.18,0,0.421,0,0
115.59,6,375.5,0,9,62.99,0,0.271,1,0
47.95,7,418.6,0,20,39.56,0,0.191,0,0
50.42,1,1989.4,0,11,27.93,0,0.564,1,0
193.87,6,447.9,0,11,22.38,0,0.557,1,0
419.83,1,257.2,1,8,13.0,0,0.389,1,1
40.5,4,1681.5,0,21,15.91,0,0.156,0,0
168.8,3,793.2,0,0,1.15,0,0.13,0,0
117.82,3,334.6,0,22,25.38,0,0.154,1,0
80.89,5,73.4,0,16,49.25,0,0.715,1,0
39.59,3,458.3,0,13,72.35,1,0.753,0,0
20.8,0,220.8,1,8,0.37,0,0.245,0,0
177.7,3,412.8,0,0,67.63,1,0.287,0,0
10.88,3,305.2,1,8,20.06,1,0.245,0,1
111.13,3,1197.5,0,23,102.25,0,0.238,1,0
11.77,0,493.4,0,4,24.26,0,0.449,1,0
143.79,2,533.7,0,9,11.89,0,0.294,1,0
105.87,7,711.6,0,19,,0,0.341,0,0
66.7,7,1075.0,1,7,6.11,1,0.403,1,0
73.29,5,393.1,1,13,121.53,0,0.501,1,1
24.0,1,1170.3,0,20,15.59,0,0.583,1,0
18.24,3,149.1,1,8,73.4,0,0.262,0,0
18.23,8,1646.1,0,23,64.22,0,0.348,1,0
30.85,4,72.6,0,8,46.84,0,0.243,1,0
6.37,2,657.5,0,19,10.82,0,0.255,1,0
191.41,5,235.0,0,17,231.35,1,0.657,1,1
73.25,3,3774.6,0,10,35.01,0,0.287,1,0
50.83,4,931.5,0,6,19.49,1,0.429,0,0
164.12,3,106.1,0,3,8.29,0,0.512,0,0
13.37,5,955.9,0,15,46.12,0,0.729,1,0
107.81,3,425.8,0,14,21.64,0,0.284,1,0
157.2,5,1282.9,0,14,1.18,0,0.261,1,0
23.89,3,422.1,0,9,40.06,0,0.114,0,0
45.69,2,154.1,0,7,37.54,0,0.0,0,0
10.59,3,143.4,0,10,81.05,0,0.247,0,0
226.33,3,260.7,1,18,92.96,3,0.473,1,1
14.46,3,978.8,1,1,24.68,1,0.68,1,0
17.84,2,384.0,0,18,28.7,0,0.0,1,0
152.51,5,935.3,0,21,8.11,0,0.305,0,0
14.37,2,1363.1,0,19,3.02,0,0.266,0,0
63.31,3,3023.1,1,19,1.81,0,0.395,0,0
